suite,reference_id,comparison_id,comparison_label,metric,num_pairs,reference_mean,comparison_mean,delta_comparison_minus_reference,delta_ci_low,delta_ci_high,p_value,p_value_holm
inference,dac_ce:dac_6steps:none,dac_ce:dac_6steps:zero,Zeroed,proxy_macro_f1,1733,0.37250968889170044,0.14738943355524767,-0.2250951220201514,-0.23007684401747713,-0.2199790855474785,,
inference,dac_ce:dac_6steps:none,dac_ce:dac_6steps:shuffle,Shuffled,mrstft_logmag_l1,1733,0.10597818449947849,0.1762410521451373,0.07026286764565878,0.0676381838588561,0.07278684851371152,0.0004997501249375312,0.0014992503748125937
inference,dac_ce:dac_6steps:none,dac_ce:dac_6steps:shuffle,Shuffled,audio_l1,1733,0.050988804320581706,0.06440516980767969,0.013416365487097976,0.012201158069888326,0.014802438647803876,0.0004997501249375312,0.0014992503748125937
inference,dac_ce:dac_6steps:none,dac_ce:dac_6steps:shuffle,Shuffled,proxy_macro_f1,1733,0.37250968889170044,0.32145638761451445,-0.05108579635721389,-0.05477414095041315,-0.04734930044977032,,
inference,dac_ce:dac_6steps:none,dac_ce:dac_6steps:phase_shift,Half-window shift,mrstft_logmag_l1,1733,0.10597818449947849,0.17965844810327147,0.07368026360379294,0.07124109356540519,0.07608333393443426,0.0004997501249375312,0.0014992503748125937
inference,dac_ce:dac_6steps:none,dac_ce:dac_6steps:phase_shift,Half-window shift,audio_l1,1733,0.050988804320581706,0.06472067725164861,0.01373187293106689,0.013000516901644504,0.014482203757753666,0.0004997501249375312,0.0014992503748125937
inference,dac_ce:dac_6steps:none,dac_ce:dac_6steps:phase_shift,Half-window shift,proxy_macro_f1,1733,0.37250968889170044,0.33157786214665297,-0.04093442760157282,-0.04324523272526792,-0.038621415177778534,,
inference,dac_ce:dac_12steps:none,dac_ce:dac_12steps:zero,Zeroed,mrstft_logmag_l1,1733,0.10565151107931196,0.2982143993821023,0.1925628883027903,0.1885342628439266,0.1965180357110155,0.0004997501249375312,0.0014992503748125937
inference,dac_ce:dac_12steps:none,dac_ce:dac_12steps:zero,Zeroed,audio_l1,1733,0.051244913227426185,0.14606100181950632,0.09481608859208007,0.08757333398266737,0.10234441384814187,0.0004997501249375312,0.0014992503748125937
inference,dac_ce:dac_12steps:none,dac_ce:dac_12steps:zero,Zeroed,proxy_macro_f1,1733,0.3697405099271641,0.21884089079450394,-0.1508916119138943,-0.1539848045704534,-0.14770219453915148,,
inference,dac_ce:dac_12steps:none,dac_ce:dac_12steps:shuffle,Shuffled,mrstft_logmag_l1,1733,0.10565151107931196,0.17824857289254217,0.0725970618132302,0.06995366533062235,0.07525941164735801,0.0004997501249375312,0.0014992503748125937
inference,dac_ce:dac_12steps:none,dac_ce:dac_12steps:shuffle,Shuffled,audio_l1,1733,0.051244913227426185,0.06444589398904504,0.013200980761618849,0.012156170152882262,0.014336368083387969,0.0004997501249375312,0.0014992503748125937
inference,dac_ce:dac_12steps:none,dac_ce:dac_12steps:shuffle,Shuffled,proxy_macro_f1,1733,0.3697405099271641,0.32031440932537464,-0.049427127658620215,-0.0531292687601395,-0.04586158517033515,,
inference,dac_ce:dac_12steps:none,dac_ce:dac_12steps:phase_shift,Half-window shift,mrstft_logmag_l1,1733,0.10565151107931196,0.18156315398440667,0.0759116429050947,0.07356565688890972,0.07829585867088591,0.0004997501249375312,0.0014992503748125937
inference,dac_ce:dac_12steps:none,dac_ce:dac_12steps:phase_shift,Half-window shift,audio_l1,1733,0.051244913227426185,0.06526255580680994,0.014017642579383748,0.013313651491366048,0.014744294772665695,0.0004997501249375312,0.0014992503748125937
inference,dac_ce:dac_12steps:none,dac_ce:dac_12steps:phase_shift,Half-window shift,proxy_macro_f1,1733,0.3697405099271641,0.3299463862416037,-0.03981505002891925,-0.042054594250195795,-0.03755130968869643,,
inference,dac_ce:dac_25steps:none,dac_ce:dac_25steps:zero,Zeroed,mrstft_logmag_l1,1733,0.10394162063600264,0.21043111675295847,0.10648949611695581,0.10478154922502605,0.10830422430563895,0.0004997501249375312,0.0014992503748125937
inference,dac_ce:dac_25steps:none,dac_ce:dac_25steps:zero,Zeroed,audio_l1,1733,0.051157747862341375,0.5917691787488789,0.5406114308865374,0.5312334981966232,0.550093487422686,0.0004997501249375312,0.0014992503748125937
inference,dac_ce:dac_25steps:none,dac_ce:dac_25steps:zero,Zeroed,proxy_macro_f1,1733,0.368470516687866,0.14737916021047304,-0.22103420766878634,-0.2263314061587746,-0.21576648784620125,,
inference,dac_ce:dac_25steps:none,dac_ce:dac_25steps:shuffle,Shuffled,mrstft_logmag_l1,1733,0.10394162063600264,0.17437304006497156,0.07043141942896891,0.06793799281074084,0.07295520238987285,0.0004997501249375312,0.0014992503748125937
